label,noun_count_percent,adj_count_percent,adv_count_percent,pro_count_percent,char_count,word_density,punctuation_count,upper_case_word_count,vader_pos,vader_neg,vader_neu,vader_compound,response,Response_emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional_sim_response/context/0,Emotional_sim_response/context/1,valence_diff,arousal_diff,dominance_diff
SARCASM,0.310344828,0.034482759,0.172413793,0.172413793,4.862068966,0.167657551,0.379310345,0.137931034,0.204,0,0.796,0.8753,      I don't get this .. obviously you do care or you would've moved right along .. instead you decided to care and troll her ..,sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082694565,0.340227096,0.501,-0.396,0.664
SARCASM,0.25,0,0,0.166666667,5,0.208333333,0.166666667,0.125,0,0.256,0.744,0.11985,    trying to protest about . Talking about him and his labels and they label themselves WTF does that make em ?,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01604707,0.013105314,-0.05,-0.059,0.492
SARCASM,0.055555556,0,0,0.055555556,5.777777778,0.320987654,0.333333333,0.222222222,0,0.176,0.824,0.2713,"      He makes an insane about of money from the MOVIES , Einstein ! #LearnHowTheSystemWorks",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006215219,0.084904665,-0.166,1.614,0.007
SARCASM,0.208333333,0.041666667,0.166666667,0.166666667,5.833333333,0.243055556,0.166666667,0.125,0,0.13,0.87,0.2447,    Meanwhile Trump won't even release his SAT scores and his Wharton professors said he was the dumbest student they've ever taught,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124027845,0.385646847,-0.136,0.31,0.167
SARCASM,0.060606061,0.03030303,0.03030303,0.03030303,5.575757576,0.168962351,0.393939394,0.090909091,0.193,0,0.807,0.83525,"    Pretty Sure the Anti-Lincoln Crowd Claimed That "" Democracy Was on the Ballot "" in 1860 , too . They Thought Lincoln Was "" Authoritarian "" . #GOP #PartyOfLincoln #Democrats",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802902,0.009652183,-0.675,1.018,-0.521
SARCASM,0.058823529,0,0.058823529,0.117647059,4.235294118,0.249134948,0.352941176,0.176470588,0,0,1,0.5,      -> per your tag line : never judge a book by its cover,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045893497,0.553644966,0.115,-0.777,-0.087
SARCASM,0.230769231,0,0.076923077,0.307692308,4.461538462,0.343195266,0.230769231,0.153846154,0.181,0.292,0.527,0.28055,    he does ! It excites him then he kill millions,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035372835,0.014640218,-0.274,1.013,-0.544
SARCASM,0.157894737,0.105263158,0,0.052631579,5.631578947,0.296398892,0.315789474,0.105263158,0.095,0.342,0.563,0.1546,"Oh look , it's the #racist   offering solidarity to the gullible #idiot   for whining about racists",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040927773,0.032653097,-1.897,-0.011,-0.956
SARCASM,0.076923077,0.076923077,0,0.076923077,4.461538462,0.343195266,0.307692308,0.230769231,0,0,1,0.5,      As they are the biggest bullies of all !,fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746524664,0.159539576,-1.758,0.315,-0.787
SARCASM,0.192307692,0.076923077,0.038461538,0,4.846153846,0.186390533,0.230769231,0.115384615,0,0.336,0.664,0.1018,"      responds to facts by tossing out frantic insults , then accuses others of being "" triggered by facts "" 🤣 😂 🤣",fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039111179,0.126055766,-0.37,0.419,-0.406
SARCASM,0.214285714,0.214285714,0.071428571,0.071428571,4.357142857,0.31122449,0.142857143,0.071428571,0.107,0.257,0.636,0.2213,  yes there's that but the only one who knows how is sick,sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026602088,0.154552189,-0.585,-0.547,-0.921
SARCASM,0.058823529,0,0,0,4.705882353,0.276816609,0.352941176,0.176470588,0.145,0.215,0.64,0.352,"      Much like Trump , Sen Cruz Tragically born without an bone . _",sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047359352,0.156663376,0.236,1.085,-0.472
